name_key,name,base_wrc_vs_r,base_wrc_vs_l
yael romero,Yael Romero,25.6451295,0.54868119
leandro emiliani,Leandro Emiliani,50.0205167,22.5387903
ricardo cova,Ricardo Cova,43.5813604,48.6569077
zach morgan,Zach Morgan,67.7647932,74.8492773
gilberto rojas,Gilberto Rojas,2.12774005,7.22316551
jean arnaez,Jean Arnaez,38.925032,42.9505882
cesar lugo,Cesar Lugo,22.0167191,1.15330132
jose marcano,Jose Marcano,23.1185415,28.0972354
angelo dispigna,Angelo DiSpigna,35.5491182,10.4622218
carter young,Carter Young,49.4145735,26.6371209
sandy presbot,Sandy Presbot,9.96523476,11.2108609
jose pastrano,Jose Pastrano,32.2290769,32.6060961
austin gauthier,Austin Gauthier,85.2128933,93.5025246
marco vargas,Marco Vargas,58.0227615,36.7023278
peson revierre,Peson Revierre,12.0673387,12.1504895
dervin andrade,Dervin Andrade,-1.5838234,2.71451149
reece walling,Reece Walling,30.543334,5.46125382
josh crouch,Josh Crouch,56.5685413,63.9040178
reminton batista,Reminton Batista,12.7760978,15.4456517
douglas glod,Douglas Glod,24.5109029,32.23202
elisandro ramirez,Elisandro Ramirez,-1.0354303,3.31816873
jose hernandez,Jose Hernandez,26.0125442,32.2689987
yensi rivas,Yensi Rivas,4.82568154,6.97425645
juan olmos,Juan Olmos,-3.6054548,1.30943958
angel ortiz,Angel Ortiz,69.6988083,44.1990278
junior suriel,Junior Suriel,15.7159753,20.3129191
cole turney,Cole Turney,52.9275823,25.4797919
jay thomason,Jay Thomason,61.1070696,31.9959675
ernny ordonez,Ernny Ordonez,39.7944142,46.7759583
jommer hernandez,Jommer Hernandez,36.7647481,42.5926307
brayan cortesia,Brayan Cortesia,8.27915742,12.8167077
oscar colina,Oscar Colina,12.2936306,17.1661647
euiji yang,Euiji Yang,91.4921498,97.8641851
elian pena,Elian Pena,30.6116636,7.4987492
juan hernandez,Juan Hernandez,14.8325241,-2.4146081
aaron judge,Aaron Judge,165.420054,182.171277
spencer horwitz,Spencer Horwitz,121.941358,94.2177913
christian yelich,Christian Yelich,122.830177,95.2512173
luke keaschall,Luke Keaschall,110.655421,113.883841
ernesto martinez,Ernesto Martinez,87.4230413,56.6141482
connor joe,Connor Joe,87.1611566,98.0780396
william simoneit,William Simoneit,51.3844787,58.8572148
adley rutschman,Adley Rutschman,113.985755,119.91485
grant lavigne,Grant Lavigne,86.8785812,55.134251
zach arnold,Zach Arnold,50.8883333,57.4101051
ryan higgins,Ryan Higgins,53.2062709,60.1549715
anthony longo,Anthony Longo,6.08650073,10.0241469
mason white,Mason White,41.1804912,20.350659
juan macero,Juan Macero,17.996849,21.6292099
carter trice,Carter Trice,68.7596026,78.892441
brendan donovan,Brendan Donovan,125.881485,99.3356468
yoshi tsutsugo,Yoshi Tsutsugo,86.4885951,56.8080081
robbie grossman,Robbie Grossman,83.7624934,95.4433008
angel genao,Angel Genao,79.6032135,83.3288254
kean wong,Kean Wong,75.6831766,54.4188986
juan jerez,Juan Jerez,30.8970113,37.482151
