name|team|osw|zsw|swstr|zone
Carter Jensen|KCR|29.4|67|12.8|40.1
Zack Short|DET|32.7|69.1|12.6|34.6
Jerar Encarnacion|SFG|46.2|60.3|9.4|42.8
Ben Rice|NYY|25.6|63.1|9.8|41.2
Kyle Karros|COL|26.6|62.8|9.9|41.1
Luis Torrens|NYM|37.2|67.8|11.2|36.3
Ramón Laureano|SDP|34.7|73.4|15.1|40.9
Christian Koss|SFG|36.8|80|15.4|51.3
Pete Alonso|BAL|28.6|68.2|11.5|41.2
Gage Workman|DET|44.8|81.8|18.3|38.7
Derek Hill|CHW|34.9|70|14.6|39.4
Andrew McCutchen|TEX|23.9|71.5|13.8|44.5
Logan O'Hoppe|LAA|36.4|69.5|13.2|38.3
Hunter Feduccia|TBR|32.1|65|11.2|42.7
Mickey Gasper|BOS|31.7|61.7|8.9|43.9
Jorge Mateo|ATL|40.6|67.9|13.9|40.5
CJ Abrams|WSN|35.9|69.6|12.8|40.5
Will Benson|CIN|22.5|70.4|13.4|40.4
Rafael Marchán|PHI|35.5|67.3|8.7|44.5
Agustín Ramírez|MIA|30.7|71.5|14.4|43.3
Graham Pauley|MIA|28.6|66|9.3|40.6
Tyler Black|MIL|37.3|78.9|12.4|39.2
Miguel Amaya|CHC|30.4|62.8|10.6|38.7
Gunnar Henderson|BAL|37.2|66|11.3|42.9
Nathaniel Lowe|CIN|29|61.7|7.9|42.4
Randal Grichuk|2 Tms|36.5|64.5|11|44.3
Jonny DeLuca|TBR|39.8|69.9|11.6|37.8
Rhys Hoskins|CLE|24|66.4|11.5|40.3
Tommy Troy|ARI|26.3|68.2|9.9|43.6
Corbin Carroll|ARI|32.2|65.5|11.9|37.7
Billy Cook|PIT|54.8|70.6|15.4|52.3
Eli White|ATL|32.5|73.9|13.6|42.7
Steven Kwan|CLE|23|51.2|2.6|40.6
Thomas Saggese|STL|40.4|75|16|39.7
Jordan Walker|STL|38.7|74.1|14.9|39.3
Drew Romo|CHW|30.3|69.1|13.6|41.5
Tyler O'Neill|BAL|32.3|68.6|12.7|37.4
Nolan Arenado|ARI|33.1|62.6|9.7|40.1
Mookie Betts|LAD|24.9|61.1|5.2|46.8
Tyrone Taylor|NYM|40.7|72|11.7|42.9
Nick Sogard|BOS|21.3|57.4|6.4|43.3
Troy Johnston|COL|39.6|64.4|10.8|40.5
Lenyn Sosa|2 Tms|50|65.6|10.5|35.8
Mike Trout|LAA|22.1|60.6|7.1|38.8
Vaughn Grissom|LAA|29.7|63.8|8.2|45
Jonah Heim|2 Tms|37.5|56.4|8.5|39.9
Riley Greene|DET|27.6|71|12.3|40.4
Austin Wells|NYY|31.1|69.3|12.5|40.7
Jake Bauers|MIL|24.1|65.8|9.6|43.7
Richie Palacios|TBR|31.8|60.8|8.8|37.4
Patrick Bailey|2 Tms|28.8|70.9|11.5|44.7
Javier Báez|DET|53|72.4|15.1|35.1
J.T. Realmuto|PHI|34.1|67|9.9|40.7
Ceddanne Rafaela|BOS|37.3|66.5|11.3|40.8
Jose Altuve|HOU|35.7|65.1|10.7|38.1
Jakob Marsee|MIA|26.3|58.6|6.8|40.9
Travis Bazzana|CLE|25.7|65.2|9.1|42.9
Ryan Jeffers|MIN|26.8|55.7|5.5|40.3
Colby Thomas|ATH|43.6|78.1|17.1|40.5
Donovan Walton|LAA|38.4|73.1|15.2|41.6
Michael Massey|KCR|37.7|67|10.9|41.5
Dansby Swanson|CHC|28|69.5|12.8|38.9
Connor Norby|MIA|28.8|75.7|13.7|43.3
Carson Benge|NYM|30.8|63.6|9|43.1
Michael Helman|TEX|50|67.7|13.6|38.3
Julio Rodríguez|SEA|41.9|72.6|13.8|38.8
Joe Mack|MIA|28.3|69.2|10.8|47.9
Trent Grisham|NYY|18.7|55|5.2|42.9
Connor Joe|SEA|24.8|61.3|9.4|44.2
Andruw Monasterio|BOS|29.5|64.4|7.5|48.9
Spencer Steer|CIN|28.5|67.6|9.2|42
Taylor Walls|TBR|27.1|61.8|8.3|42.7
José Caballero|NYY|37.1|65.9|11.1|41.1
Luis Robert Jr.|NYM|35.2|65.5|11.6|37.6
Dustin Harris|2 Tms|31.3|59.5|5.8|39.2
Kody Clemens|MIN|34.2|67.2|11.3|43.5
Ty France|SDP|38.6|75.8|14.2|43.9
Edouard Julien|COL|23.8|67|10.2|42.2
Zach Neto|LAA|33.8|72.3|13.7|38.8
Andrew Benintendi|CHW|35.5|77.3|14.5|41.1
Xander Bogaerts|SDP|30.9|63.3|8.7|41.3
Keibert Ruiz|WSN|36.9|63.3|6.1|45.5
Curtis Mead|WSN|27.6|62.2|6.5|40.4
Dillon Dingler|DET|33.7|66.3|9.4|41.2
Yohendrick Piñango|TOR|35.7|69.2|10.6|42.2
Danny Jansen|TEX|25.9|69.1|10.4|43.7
Shohei Ohtani|LAD|30.2|64.9|10.8|40.1
Braden Shewmake|HOU|53.4|72.3|13.2|43.4
Trea Turner|PHI|37.4|70.6|12.6|42.6
Lawrence Butler|ATH|25.3|71.9|11.5|43.2
Orlando Arcia|MIN|38.3|65.9|8.9|40.6
Josh Lowe|LAA|38.2|74.2|13.3|45.6
Bobby Witt Jr.|KCR|36|68.9|10.3|38.1
Caleb Durbin|BOS|28.8|63.4|6.7|43.3
Matt Shaw|CHC|38.2|64.4|8.8|41.4
Willi Castro|COL|40.9|74.1|14.7|38.6
Masataka Yoshida|BOS|29.5|53.2|4.2|41
J.P. Crawford|SEA|21.6|60|6.2|42.7
Brenton Doyle|COL|38|75.9|15.1|40
Lourdes Gurriel Jr.|ARI|43.3|67.3|12.9|38.7
Daniel Susac|SFG|39.6|71|12.4|44.4
Henry Bolte|ATH|29.8|74.7|13.3|41.2
Bryan Reynolds|PIT|26|69.5|10.9|41.2
Michael Busch|CHC|27|63.5|9.7|39.7
Carlos Correa|HOU|35.3|59.7|9.4|39.7
Iván Herrera|STL|30.9|62|8.2|38.9
Nolan Schanuel|LAA|32.1|65|7.8|44.7
Noelvi Marte|CIN|48.2|69|13.6|33.6
Edmundo Sosa|PHI|52.9|72.5|13.9|38.4
Anthony Volpe|NYY|24.8|67.8|10.5|39.5
Ryan O'Hearn|PIT|31.5|61.4|8.6|41.7
Nathan Church|STL|46.2|69|12.5|41.3
JJ Bleday|CIN|26.1|71.2|12.3|42
Casey Schmitt|SFG|38.6|69|11|43.8
Fernando Tatis Jr.|SDP|32.2|72|12.6|40.3
Michael Harris II|ATL|44.8|71.5|13.3|40.6
Jonathan Aranda|TBR|29.5|65.3|8.4|39.3
Christian Vázquez|HOU|35.6|60|7.9|39.4
Cal Raleigh|SEA|40.4|73.3|15.1|37.6
Oswald Peraza|LAA|38.2|79.3|14.5|40.5
Andrés Giménez|TOR|43.8|72.3|12.2|42
Alec Burleson|STL|37.2|65.8|9.4|42.4
César Prieto|STL|43.5|68.4|9.5|45.2
Kyle Isbel|KCR|37.8|59|7.3|41.3
Austin Hedges|CLE|26.9|68|9.8|42.2
Manny Machado|SDP|31.6|70.9|11.2|41.4
Myles Straw|TOR|20.7|57.5|4.3|44.5
Victor Robles|SEA|38.2|61.9|11.7|38.2
Nasim Nuñez|WSN|29.1|68.9|10|43.2
Wilyer Abreu|BOS|33.5|68.8|9.6|42.1
Lane Thomas|KCR|24.4|64.5|7.5|39.8
Marcelo Mayer|BOS|32.6|74.6|12.9|42.6
Dylan Beavers|BAL|24.2|68.5|8.8|44.5
Sam Antonacci|CHW|25.7|60.4|5.4|43.5
Jo Adell|LAA|40.2|77.9|13.6|40.7
Leo Jiménez|MIA|28.4|68.3|7.5|41.3
Ryan Kreidler|MIN|34.9|75|15.3|44.2
Brett Sullivan|COL|41|68.1|10.1|42.5
Endy Rodríguez|PIT|23|55.9|7.5|37.1
Jahmai Jones|DET|32.9|72.8|13.9|39.7
Andrew Vaughn|MIL|27.3|62.8|7.2|45.8
Adley Rutschman|BAL|27.8|57.4|5|43.2
Brandon Marsh|PHI|38.9|70.1|10.5|44.7
Moisés Ballesteros|CHC|38.4|71.4|12.8|35
Sal Stewart|CIN|32.2|72|11.2|42.3
Gleyber Torres|DET|20.8|64|6.7|40.6
Geraldo Perdomo|ARI|23.6|57|3.8|45
Brandon Valenzuela|TOR|32.5|73.7|11.9|42.8
Corey Seager|TEX|31.9|80.8|16.2|38
Juan Soto|NYM|23.8|62|7.9|43.2
Ezequiel Tovar|COL|47.4|81.2|15.7|38.1
Leody Taveras|BAL|30.7|69.3|10.3|38.4
David Hamilton|MIL|30.5|60.1|7.4|43.3
JJ Wetherholt|STL|25.8|67.8|9.1|42.9
Jake Cronenworth|SDP|29.3|64.3|9.1|40.3
Cole Young|SEA|34.2|66|9.4|41.9
Andy Pages|LAD|37.2|68.9|10.5|41.2
Brendan Donovan|SEA|28.6|63|7.3|41
Pavin Smith|ARI|20|60|5.5|45.5
Isaac Paredes|HOU|30.3|64.7|6.9|40.4
Pete Crow-Armstrong|CHC|39.5|71|12.9|40
Matt Vierling|DET|30.7|65.7|6.5|45.2
Luke Keaschall|MIN|25.8|62.5|5.7|43.3
Salvador Perez|KCR|47.3|74.1|14.5|36.5
Ildemaro Vargas|ARI|43.7|59.7|6.7|42.8
Blaze Alexander|BAL|33.4|81.7|14.9|43.6
Ramón Urías|STL|26.7|74.5|10.5|44.7
Nico Hoerner|CHC|33.1|55.9|4.2|41.2
Ketel Marte|ARI|37.3|66.1|9.6|40.8
Javier Sanoja|MIA|44.4|58.6|5.8|40.1
Santiago Espinal|LAD|35.5|63.2|5.9|40.9
Tyler Heineman|TOR|45.7|66.7|11.6|43.2
Brice Turang|MIL|23.3|63|7.3|43.6
Alek Thomas|ARI|45.5|73.4|12.7|40.6
Brayan Rocchio|CLE|34|67.4|9.9|40.1
Tim Tawa|ARI|35.7|63.8|10.4|38.9
Will Smith|LAD|24.6|63.2|5.8|43.3
Junior Caminero|TBR|30|61.3|7.8|35.1
Amed Rosario|NYY|42.3|77.8|13.6|41.7
Heliot Ramos|SFG|40.1|75|13.3|41.2
Alec Bohm|PHI|28.1|63.5|6.5|43.1
Miguel Andujar|SDP|42.3|70.5|9.7|42.9
Justin Crawford|PHI|35.8|68|7.8|44.3
Brandon Nimmo|TEX|30.3|69|8.8|45.8
Colt Emerson|SEA|27.4|72|11.2|44.6
Darell Hernaiz|ATH|37|70.7|9.1|39.8
Luisangel Acuña|CHW|35.8|68.9|11.4|36.8
Christian Walker|HOU|33.8|74.7|13.2|39.8
Jhonny Pereda|SEA|30.2|66.7|6|42.3
Mickey Moniak|COL|44.4|77.3|14.4|41.3
Jake Fraley|TBR|25.5|69.5|8.7|44.1
Andrés Chaparro|WSN|37.6|57.1|10.6|24.8
Jeremiah Jackson|BAL|41.1|79.9|14|45.7
Drake Baldwin|ATL|35.7|71.4|10.9|41
Sal Frelick|MIL|24.6|61|3.9|46.9
Brooks Lee|MIN|36.8|71.9|10.3|41.6
Austin Martin|MIN|19.5|68.2|7|40.7
Edgar Quero|CHW|32|72.5|10.8|40
Francisco Lindor|NYM|31.3|69|10.5|37.3
Freddy Fermin|SDP|36.5|72.3|12.6|37.8
Matt Olson|ATL|31.6|65.7|9.3|41.6
Josh Jung|TEX|34.5|66|7.5|43
Tyler Soderstrom|ATH|30.4|71.1|9.8|41.9
Parker Meadows|DET|32|65.2|8.6|40.5
Nick Yorke|PIT|32.8|69.5|8|40.2
Daniel Johnson|HOU|29.7|75|9.4|30.2
