season,lg,rnd,home_team,home_odds,away_team,away_odds,winner,score,ph,pa,mkt_home,vig,home_won
2023,AL,WCS,Minnesota Twins (3),-130,Toronto Blue Jays (WC3),110,Minnesota Twins,2-0,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,1
2023,AL,WCS,Tampa Bay Rays (WC1),-160,Texas Rangers (WC2),140,Texas Rangers,2-0,0.6153846153846154,0.4166666666666667,0.5962732919254659,0.03205128205128216,0
2023,NL,WCS,Milwaukee Brewers (3),-170,Arizona Diamondbacks (WC3),145,Arizona Diamondbacks,2-0,0.6296296296296297,0.40816326530612246,0.6067006554989074,0.03779289493575222,0
2023,NL,WCS,Philadelphia Phillies (WC1),-190,Miami Marlins (WC2),160,Philadelphia Phillies,2-0,0.6551724137931034,0.38461538461538464,0.6301020408163266,0.039787798408488007,1
2024,,WS,Los Angeles Dodgers (1),-130,New York Yankees (1),110,Los Angeles Dodgers,4-1,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,1
2024,AL,LCS,New York Yankees (1),-190,Cleveland Indians (2),165,New York Yankees,4-1,0.6551724137931034,0.37735849056603776,0.6345305608065531,0.0325309043591413,1
2024,NL,LCS,Los Angeles Dodgers (1),-180,New York Mets (WC3),160,Los Angeles Dodgers,4-2,0.6428571428571429,0.38461538461538464,0.6256684491978609,0.027472527472527597,1
2024,AL,LDS,New York Yankees (1),-220,Kansas City Royals (WC2),190,New York Yankees,3-1,0.6875,0.3448275862068966,0.6659707724425887,0.032327586206896575,1
2024,AL,LDS,Cleveland Guardians (2),-120,Detroit Tigers (WC3),100,Cleveland Guardians,3-2,0.5454545454545454,0.5,0.5217391304347826,0.045454545454545414,1
2024,NL,LDS,Los Angeles Dodgers (1),-135,San Diego Padres (WC1),115,Los Angeles Dodgers,3-2,0.574468085106383,0.46511627906976744,0.552594002855783,0.03958436417615041,1
2024,NL,LDS,Philadelphia Phillies (2),-185,New York Mets (WC3),165,New York Mets,3-1,0.6491228070175439,0.37735849056603776,0.6323766526926797,0.026481297583581753,0
2024,AL,WCS,Houston Astros (3),-170,Detroit Tigers (WC3),150,Detroit Tigers,2-0,0.6296296296296297,0.4,0.6115107913669064,0.029629629629629672,0
2024,AL,WCS,Baltimore Orioles (WC1),-170,Kansas City Royals (WC2),150,Kansas City Royals,2-0,0.6296296296296297,0.4,0.6115107913669064,0.029629629629629672,0
2024,NL,WCS,Milwaukee Brewers (3),-145,New York Mets (WC3),125,New York Mets,2-1,0.5918367346938775,0.4444444444444444,0.5711159737417943,0.03628117913832196,0
2024,NL,WCS,San Diego Padres (WC1),-175,Atlanta Braves (WC2),155,San Diego Padres,2-0,0.6363636363636364,0.39215686274509803,0.6187175043327556,0.028520499108734443,1
2025,,WS,Toronto Blue Jays (1),195,Los Angeles Dodgers (3),-235,Los Angeles Dodgers,4-3,0.3389830508474576,0.7014925373134329,0.32579625577437393,0.040475588160890474,0
2025,AL,LCS,Toronto Blue Jays (1),-130,Seattle Mariners (2),110,Toronto Blue Jays,4-3,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,1
2025,NL,LCS,Milwaukee Brewers (1),185,Los Angeles Dodgers (3),-215,Los Angeles Dodgers,4-0,0.3508771929824561,0.6825396825396826,0.3395311236863379,0.03341687552213868,0
2025,AL,LDS,Toronto Blue Jays (1),130,New York Yankees (WC1),-150,Toronto Blue Jays,3-1,0.43478260869565216,0.6,0.42016806722689076,0.034782608695652195,1
2025,AL,LDS,Seattle Mariners (2),-155,Detroit Tigers (WC3),135,Seattle Mariners,3-2,0.6078431372549019,0.425531914893617,0.5882115462252725,0.03337505214851899,1
2025,NL,LDS,Milwaukee Brewers (1),-120,Chicago Cubs (WC1),100,Milwaukee Brewers,3-2,0.5454545454545454,0.5,0.5217391304347826,0.045454545454545414,1
2025,NL,LDS,Philadelphia Phillies (2),120,Los Angeles Dodgers (3),-140,Los Angeles Dodgers,3-1,0.45454545454545453,0.5833333333333334,0.43795620437956206,0.037878787878787845,0
2025,AL,WCS,Cleveland Guardians (3),100,Detroit Tigers (WC3),-120,Detroit Tigers,2-1,0.5,0.5454545454545454,0.4782608695652174,0.045454545454545414,0
2025,AL,WCS,New York Yankees (WC1),-190,Boston Red Sox (WC2),170,New York Yankees,2-1,0.6551724137931034,0.37037037037037035,0.6388542963885429,0.025542784163473886,1
2025,NL,WCS,Los Angeles Dodgers (3),-300,Cincinnati Reds (WC3),250,Los Angeles Dodgers,2-0,0.75,0.2857142857142857,0.7241379310344829,0.03571428571428559,1
2025,NL,WCS,Chicago Cubs (WC1),-130,San Diego Padres (WC2),110,Chicago Cubs,2-1,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,1
