name,team,pa,power,eye,barrel,hh,osw,zsw,swstr,zone,heart_rv,shadow_rv,chase_rv,waste_rv
Ha-Seong Kim,,128,7.8,1.99,2.5,24.7,26.5,59.1,8.7,50.3,-10.759774690136375,-8.716509528392278,2.506934488726049,0.9974243464554198
Junior Caminero,,669,30.14,13.82,13.1,49.9,30.3,62.3,10.4,42.5,-0.9795594180753305,5.4897222080002654,16.819473351042475,14.28852733473765
Blake Perkins,,101,13.59,4.35,4.4,33.8,28.9,59.1,9.1,48.0,-3.3252912098755463,-5.844974839508661,3.0708652488179684,1.6500321374944862
Carlos Santana,,26,12.3,5.17,0.0,43.8,35.7,67.9,15.1,47.2,-1.811320200446505,-2.8953917286897157,0.8595585224237149,-0.31965378977004344
Jung Hoo Lee,,572,10.22,0.25,2.3,31.5,30.9,63.9,6.0,50.6,-14.047043242576947,-8.147553694215505,11.251985879007393,9.261714185199807
Austin Hays,,94,17.07,9.14,4.5,42.4,37.3,75.1,18.4,45.5,-0.8474644225125773,-3.4414589165837866,0.09556661095850953,1.1939467411728941
Alika Williams,,217,9.27,-1.48,1.3,32.1,37.4,67.8,11.9,51.0,3.1422443347833235,-8.39982374683942,1.0942631951201116,1.9130191811987929
Victor Caratini,,366,18.22,5.63,6.5,39.3,25.8,58.5,9.3,48.6,-7.303600250654201,-16.506191933966534,9.902157405219953,7.550004200289681
Pete Alonso,,670,34.01,12.2,14.3,56.2,27.0,66.3,12.1,46.1,-2.86579176812961,-1.60069431295195,16.837379370747843,17.933672873192585
Jose Siri,,227,27.14,5.14,13.2,41.9,42.3,69.3,20.3,46.0,-0.9825998799392544,-6.488846796401282,0.6269436279801494,2.3359885686265893
Munetaka Murakami,,517,39.17,14.72,18.8,55.8,22.4,61.4,17.3,46.2,-9.566731418077058,-9.610179523044488,21.681674574960272,13.826051145987465
Stuart Fairchild,,27,10.82,26.14,0.0,40.0,23.5,62.0,26.4,38.2,-2.0163856940435925,-0.7185601219361791,1.5157051396704997,0.8904130364416304
Curtis Mead,,329,24.58,7.68,10.9,42.3,25.1,57.9,7.3,47.3,0.061641369850146566,-7.937887262924581,10.968727443626591,9.60487520412328
Orlando Arcia,,50,7.92,5.32,2.5,25.0,34.8,69.7,11.3,47.0,0.6697117908562933,-1.373118711550058,-0.01344255374243758,0.4852446356900096
Nolan Arenado,,564,14.75,8.2,6.4,30.7,31.8,63.5,11.1,46.1,2.8340549369631303,-11.459387270553453,12.719224413392382,10.789371845421766
Moisés Ballesteros,,322,24.83,10.1,9.1,48.4,36.6,69.9,13.9,43.3,-7.232648273494364,-9.69813057551758,1.3868685750022829,7.050337311102867
Owen Caissie,,330,29.49,8.77,14.2,44.9,30.0,64.7,16.4,46.7,-8.009248553031425,-3.956903415262677,2.252649886981539,5.276652616921446
Lazaro Montes,,35,39.02,3.28,23.5,41.2,32.8,75.7,26.1,53.6,0.7584415565583738,-0.6596041669574447,1.5880779237421523,-0.0311342940701248
Justin Dean,,10,14.72,13.31,0.0,50.0,38.1,81.4,18.9,43.2,0.7830051856542104,0.03748939606140961,-0.15196035708041192,0.33005707996086603
Zack Short,,62,10.22,9.14,5.9,20.6,27.1,64.9,14.0,47.1,-3.9310762336377882,-4.656999170462764,2.0358463762830836,1.9290378640192158
Gage Workman,,41,37.63,6.1,20.8,45.8,42.5,80.0,20.0,46.7,0.1950400006586221,-1.9677183497232462,-1.4412741368875972,0.15975207363345595
Nathan Church,,444,13.8,2.71,5.6,30.7,41.8,72.2,11.3,46.7,-8.923875091255749,-16.735934526554583,8.340980813166261,7.640108461558268
Patrick Bailey,,328,19.74,7.03,7.0,41.7,31.3,69.3,13.1,47.6,-5.339245200841633,-20.117792842177607,6.103325267259146,5.0078714951784935
Gabriel Gonzalez,,11,1.73,25.8,0.0,16.7,29.6,93.8,9.3,37.2,0.48074949359668134,-0.3798043256101839,-0.032797807600789215,1.0058146343484649
Masyn Winn,,513,12.8,4.41,3.4,34.8,24.2,58.6,9.6,50.0,-22.6486241057994,-14.247951071357994,14.214482605572273,10.167549096594671
Geraldo Perdomo,,643,10.14,5.35,2.6,30.4,21.3,56.6,4.7,50.1,-23.078029190498462,-17.168777369133107,31.136229675914436,16.52704247198259
Joey Meneses,,25,18.15,12.32,0.0,58.8,33.3,61.2,10.5,40.8,-2.497269989026195,-0.6918372664238138,0.2651417376481217,0.9356636181866491
Jake Rogers,,171,20.55,7.53,9.4,36.5,25.6,60.5,11.3,47.8,-3.6867477343676445,-11.066144379361859,4.098418444000376,4.493576389293415
Dylan Crews,,409,23.24,8.74,9.5,43.1,31.7,73.6,15.5,47.7,0.613207567903997,-18.379543302520382,5.2473072825385145,8.14179902688493
Esteury Ruiz,,231,14.92,10.17,8.1,26.0,32.2,66.9,15.6,45.2,-4.960150269485533,-3.984532413039759,7.287924307878395,3.7648018450203686
Andruw Monasterio,,329,15.57,3.04,6.7,31.9,26.6,66.6,8.8,51.2,-12.862098848328642,-12.113190617595961,11.334114893790437,6.303520753617399
Tyler Tolbert,,141,8.63,7.06,3.0,25.3,26.8,71.9,14.8,50.3,0.22568267620629215,-2.648948492992907,4.867570657127644,0.8736071165641892
Abimelec Ortiz,,124,20.65,5.77,8.4,39.8,37.5,66.1,12.1,45.1,-3.961968507552467,-2.7956889943497027,0.7437497174875558,2.161776518263563
Braden Shewmake,,91,17.79,-4.68,6.9,37.0,52.6,71.3,14.5,48.1,0.31864060057297033,0.537748558321442,-0.9047363514913312,0.4404973425757888
Matt Wallner,,135,23.21,9.62,10.4,40.3,31.6,74.1,22.9,48.2,-7.899950639204754,-5.253247562861722,3.1913716464761706,1.7628992464139601
Miguel Andujar,,254,14.69,-0.04,4.5,36.3,40.8,68.7,10.0,48.1,-6.521262035919969,-2.7788285880052332,2.727916977164353,3.914288818679593
Casey Schmitt,,409,27.21,1.3,12.3,44.8,36.5,71.1,11.5,50.0,0.7852130639212527,-3.796730695612602,5.425901823461084,5.026557897306209
Anthony Seigler,,173,15.44,6.45,5.6,34.9,26.4,66.3,10.3,49.1,0.20868943159857203,-8.868852414492592,4.916942017301204,2.964873069562165
Leo Rivas,,139,3.11,5.22,1.3,16.3,16.3,55.3,8.4,51.6,-12.880825207487177,-7.400784510142402,6.42704547614777,3.1329366341019034
Nick Allen,,153,8.15,2.42,1.8,27.7,27.1,65.8,10.8,51.7,-3.6215045371964503,-4.806284641006377,3.7881142243102106,3.179225411432241
Willi Castro,,477,20.22,10.51,8.0,39.9,37.7,73.5,16.5,44.4,5.1442789378402916,-18.902474618349203,5.942982092120102,9.691545762454666
Kerry Carpenter,,259,23.71,7.18,9.6,44.0,36.3,67.0,14.4,45.3,-11.141098265804512,1.7389969874271318,5.281616266943368,5.371413207887706
Spencer Jones,,265,35.08,15.65,15.4,55.6,35.5,76.9,20.9,42.8,7.724251077678469,-12.209490460666517,3.6312606897656337,5.094979884670725
Zach Dezenzo,,83,18.36,3.3,9.1,31.8,34.3,58.9,17.7,48.3,-4.023771184412109,-1.7082650708424767,0.9798532777947013,0.6281489913669452
Jose Trevino,,152,9.68,-4.71,2.5,29.5,38.0,60.9,10.9,51.5,-4.471444914556169,-3.813994336479098,-0.6333606946596648,1.1734578907875153
Shay Whitcomb,,101,23.55,5.09,13.0,33.3,37.8,65.9,14.0,45.9,-0.023176604149884122,-7.529107338945415,-0.03062805166846829,1.1044224967028682
Victor Robles,,149,5.03,7.24,1.7,20.0,36.1,76.0,11.8,46.1,-5.488594442165184,-4.492716142414985,3.4756905634437607,1.9243713830896798
Seiya Suzuki,,602,22.86,11.06,10.5,39.1,22.4,59.7,9.5,47.2,-1.6110798398007784,-14.711129285374883,21.278277756850244,14.102009994825968
Walker Jenkins,,61,22.71,11.02,10.8,37.8,25.4,71.1,13.8,47.5,0.8440109536283776,-5.135859309611894,2.6387553995753175,1.416382375123129
Corbin Carroll,,638,28.57,10.12,12.4,48.0,29.6,64.2,12.6,45.9,-8.254611715582403,-7.257988572368655,18.278356004100583,11.49901065138628
Giancarlo Stanton,,96,33.74,9.88,18.0,44.3,30.3,62.6,17.5,45.8,0.2905499947996452,-2.6272947122996473,1.6789752270369043,1.765892517631221
Victor Mesa Jr.,,234,24.43,7.45,11.4,40.4,35.1,76.8,13.8,47.2,-1.1659247359826315,2.208510903634807,4.425903610761177,2.5984333921263114
Ramón Urías,,100,20.71,7.0,10.1,34.8,25.8,71.1,11.3,49.7,-2.4629540886475967,-4.73267123630103,2.4603154169786157,2.3845284913978704
Addison Barger,,28,14.72,16.68,0.0,50.0,35.5,58.2,10.1,36.1,-1.6361784190115047,-2.949999982356557,1.00534689568322,0.15303645544932667
Luis Matos,,21,4.23,5.84,0.0,23.1,52.4,73.3,19.4,41.7,-0.5071809389959685,-1.6674823169746003,0.04921592597225177,0.04538140420857274
Jorbit Vivas,,344,7.46,11.41,3.2,21.7,28.4,74.4,9.0,45.7,-6.951096083853275,-14.821339276508105,10.998590322948287,7.013798664921577
Adam Frazier,,146,4.95,0.13,2.2,18.3,36.5,70.0,14.2,50.8,-4.498058727675424,-1.543811894199519,0.7831997351105616,2.522897991174653
Jorge Soler,,361,24.7,10.97,10.9,42.6,27.4,69.2,17.5,47.6,1.163711574840737,-19.3276165005271,6.955256272411276,7.308170055152501
Marcell Ozuna,,280,18.66,9.92,7.7,36.8,26.7,61.3,12.8,45.9,-13.220266428190316,-12.68787173356399,8.568973073834808,5.518116820082087
