Team,Position,PlayerID,Player,,,,Workload
White Sox,RP,805326,Tyler Schweitzer,8,8,White Sox 8,FALSE
Reds,RP,641941,Emilio Pagan,8,1,Reds 1,FALSE
Reds,RP,622088,Tejay Antone,8,2,Reds 2,FALSE
Reds,RP,656271,Brock Burke,8,3,Reds 3,FALSE
Reds,RP,657571,Caleb Ferguson,8,4,Reds 4,FALSE
Reds,RP,572955,Pierce Johnson,8,5,Reds 5,TRUE
Reds,RP,594580,Sam Moll,8,6,Reds 6,FALSE
Reds,RP,695534,Chase Petty,8,7,Reds 7,TRUE
Reds,RP,670062,Julian Garcia,8,8,Reds 8,TRUE
Guardians,RP,671922,Cade Smith,8,1,Guardians 1,TRUE
Guardians,RP,683769,Hunter Gaddis,8,2,Guardians 2,TRUE
Guardians,RP,670059,Colin Holderman,8,3,Guardians 3,TRUE
Guardians,RP,682120,Tim Herrin,8,4,Guardians 4,FALSE
Guardians,RP,681870,Erik Sabrowski,8,5,Guardians 5,FALSE
Guardians,RP,680916,Franco Aleman,8,6,Guardians 6,TRUE
Guardians,RP,670036,Matt Festa,8,7,Guardians 7,FALSE
Guardians,RP,702021,Will Dion,8,8,Guardians 8,FALSE
Rockies,RP,605447,Jordan Romano,8,1,Rockies 1,FALSE
Rockies,RP,622608,Antonio Senzatela,8,2,Rockies 2,FALSE
Rockies,RP,675848,Juan Mejia,8,3,Rockies 3,FALSE
Rockies,RP,657514,Brennan Bernardino,8,4,Rockies 4,TRUE
Rockies,RP,680767,Victor Vodnik,8,5,Rockies 5,FALSE
Rockies,RP,623474,Jimmy Herget,8,6,Rockies 6,FALSE
Rockies,RP,688642,Zach Agnos,8,7,Rockies 7,FALSE
Rockies,RP,685299,Tanner Gordon,8,8,Rockies 8,FALSE
Tigers,RP,445276,Kenley Jansen,8,1,Tigers 1,FALSE
Tigers,RP,640448,Kyle Finnegan,8,2,Tigers 2,FALSE
Tigers,RP,663947,Tyler Holton,8,3,Tigers 3,FALSE
Tigers,RP,623454,Drew Anderson,8,4,Tigers 4,FALSE
Tigers,RP,805427,Drew Sommers,8,5,Tigers 5,FALSE
Tigers,RP,621097,Jacob Waguespack,8,6,Tigers 6,TRUE
Tigers,RP,669724,Brenan Hanifee,8,7,Tigers 7,TRUE
Tigers,RP,680744,Ty Madden,8,8,Tigers 8,TRUE
Astros,RP,623352,Josh Hader,8,1,Astros 1,FALSE
Astros,RP,595345,Steven Okert,8,2,Astros 2,TRUE
Astros,RP,650556,Bryan Abreu,8,3,Astros 3,TRUE
Astros,RP,660853,Enyel De Los Santos,8,4,Astros 4,FALSE
Astros,RP,656986,Bennett Sousa,8,5,Astros 5,FALSE
