season,team,lineup_xwoba,lineup_woba,n_games,core9
2026,158,0.3234851357885283,0.3296134914828857,14,Jackson Chourio;Brice Turang;Garrett Mitchell;William Contreras;Joey Ortiz;Cooper Pratt;Luis Lara;Andrew Vaughn;Christian Yelich
2026,119,0.32791566546801104,0.3264166873911766,15,Mookie Betts;Tommy Edman;Teoscar Hernández;Kyle Tucker;Freddie Freeman;Max Muncy;Will Smith;Josue De Paula;Enrique Hernández
2024,110,0.32533985373720703,0.3213784617159322,14,Gunnar Henderson;Anthony Santander;Adley Rutschman;Colton Cowser;Cedric Mullins;Ryan O'Hearn;Emmanuel Rivera;Heston Kjerstad;Jordan Westburg
2025,147,0.34286262087753033,0.3422777490783947,16,Aaron Judge;Cody Bellinger;Trent Grisham;Giancarlo Stanton;Ben Rice;Jazz Chisholm;Ryan McMahon;Austin Wells;Paul Goldschmidt
2015,112,0.31399915261621597,0.32066522441540085,16,Anthony Rizzo;Kris Bryant;Dexter Fowler;Kyle Schwarber;Starlin Castro;Addison Russell;Chris Coghlan;Miguel Montero;Jorge Soler
2024,147,0.34041316201406224,0.33046904346734857,14,Gleyber Torres;Juan Soto;Aaron Judge;Jazz Chisholm;Jasson Domínguez;Anthony Volpe;Giancarlo Stanton;Austin Wells;Anthony Rizzo
2026,139,0.3136419555532083,0.3269870506982693,14,Junior Caminero;Yandy Díaz;Chandler Simpson;Jonathan Aranda;Victor Mesa Jr.;Liam Hicks;Richie Palacios;Jorge Mateo;Jonny DeLuca
2020,112,0.3250096878264263,0.3176787605507967,15,Kyle Schwarber;Willson Contreras;Anthony Rizzo;Ian Happ;Javier Báez;Jason Heyward;Kris Bryant;Jason Kipnis;Victor Caratini
2020,145,0.3272125851413695,0.3307111943585881,17,Tim Anderson;José Abreu;Yoán Moncada;Eloy Jiménez;Luis Robert;Edwin Encarnación;Nick Madrigal;Yasmani Grandal;Nomar Mazara
2021,145,0.3331362502586753,0.3351032210662771,16,Yasmani Grandal;Yoán Moncada;Tim Anderson;Luis Robert;Eloy Jiménez;José Abreu;Leury Garcia;César Hernández;Gavin Sheets
2018,115,0.31869683411067407,0.33141535510148806,16,Charlie Blackmon;DJ LeMahieu;Nolan Arenado;Ian Desmond;David Dahl;Trevor Story;Carlos González;Chris Iannetta;Tony Wolters
2019,142,0.34072206133822286,0.34122564282178636,16,Eddie Rosario;Jorge Polanco;Miguel Sanó;Nelson Cruz;Luis Arraez;Jonathan Schoop;Jake Cave;Mitch Garver;LaMonte Wade
2019,139,0.32899450551343845,0.3229074526928245,14,Austin Meadows;Tommy Pham;Joey Wendle;Willy Adames;Ji Man Choi;Travis d'Arnaud;Kevin Kiermaier;Matt Duffy;Avisaíl García
2022,121,0.3245790968500416,0.32696942791279293,14,Francisco Lindor;Pete Alonso;Brandon Nimmo;Jeff McNeil;Mark Canha;Eduardo Escobar;Daniel Vogelbach;Luis Guillorme;Tomás Nido
2016,140,0.3194198294884938,0.32823932510224385,15,Carlos Gómez;Adrian Beltré;Ian Desmond;Rougned Odor;Carlos Beltrán;Jonathan Lucroy;Elvis Andrus;Mitch Moreland;Nomar Mazara
2017,117,0.3354215210810746,0.34498717684710567,16,George Springer;Alex Bregman;Carlos Correa;Jose Altuve;Yuli Gurriel;Marwin Gonzalez;Evan Gattis;Brian McCann;Josh Reddick
2026,143,0.32257489234983105,0.3230724364010791,15,Kyle Schwarber;Trea Turner;Bryce Harper;Luis Arraez;Alec Bohm;Bryson Stott;J.T. Realmuto;Brandon Marsh;Justin Crawford
2022,136,0.31765514952716817,0.30932783930137614,17,Ty France;Mitch Haniger;Carlos Santana;J.P. Crawford;Jarred Kelenic;Dylan Moore;Adam Frazier;Eugenio Suárez;Abraham Toro
2016,141,0.33167411358974663,0.33480163618371583,16,Josh Donaldson;Edwin Encarnación;José Bautista;Troy Tulowitzki;Devon Travis;Russell Martin;Kevin Pillar;Ezequiel Carrera;Michael Saunders
2026,114,0.3138812629796218,0.31416675677594547,14,Steven Kwan;Jo Adell;José Ramírez;Travis Bazzana;Brayan Rocchio;Angel Martínez;Nathaniel Lowe;Chase DeLauter;Angel Genao
2019,138,0.32598612094744545,0.31983805945973964,16,Dexter Fowler;Tommy Edman;Paul Goldschmidt;Marcell Ozuna;Yadier Molina;Paul DeJong;Harrison Bader;Matt Carpenter;Kolten Wong
2018,114,0.33275091849454996,0.33219333228897063,15,Francisco Lindor;José Ramírez;Michael Brantley;Edwin Encarnación;Melky Cabrera;Josh Donaldson;Yonder Alonso;Jason Kipnis;Yandy Díaz
2020,144,0.3518048393742698,0.3506927048706746,16,Marcell Ozuna;Ronald Acuña;Freddie Freeman;Dansby Swanson;Ozzie Albies;Adam Duvall;Travis d'Arnaud;Austin Riley;Nick Markakis
2021,144,0.33190046825599556,0.3250129171199237,17,Freddie Freeman;Ozzie Albies;Austin Riley;Dansby Swanson;Jorge Soler;Eddie Rosario;Adam Duvall;Travis d'Arnaud;Joc Pederson
2020,113,0.3296234569132372,0.3218997345280889,16,Joey Votto;Nick Castellanos;Shogo Akiyama;Eugenio Suárez;Mike Moustakas;Freddy Galvis;Brian Goodwin;Jesse Winker;Aristides Aquino
2025,111,0.3152502687105801,0.3188029696538042,15,Trevor Story;Jarren Duran;Alex Bregman;Ceddanne Rafaela;Masataka Yoshida;Nathaniel Lowe;Romy Gonzalez;Carlos Narváez;Nate Eaton
2020,133,0.3267868814314737,0.31984400794997414,18,Tommy La Stella;Marcus Semien;Mark Canha;Matt Olson;Ramón Laureano;Robbie Grossman;Jake Lamb;Stephen Piscotty;Sean Murphy
2017,120,0.3260801330171752,0.3333108158070653,16,Trea Turner;Michael A. Taylor;Anthony Rendon;Jayson Werth;Daniel Murphy;Ryan Zimmerman;Matt Wieters;Howie Kendrick;Bryce Harper
2016,120,0.32116607763726657,0.3227457327012486,16,Trea Turner;Anthony Rendon;Danny Espinosa;Jayson Werth;Bryce Harper;Ryan Zimmerman;Stephen Drew;Wilson Ramos;Wilmer Difo
2023,141,0.3264515687744131,0.32458561987790246,14,Bo Bichette;George Springer;Cavan Biggio;Matt Chapman;Vladimir Guerrero;Kevin Kiermaier;Alejandro Kirk;Daulton Varsho;Whit Merrifield
2022,141,0.3277511204821247,0.32651504063585046,15,Bo Bichette;Vladimir Guerrero;George Springer;Matt Chapman;Teoscar Hernández;Raimel Tapia;Whit Merrifield;Alejandro Kirk;Danny Jansen
2025,136,0.32931044772610835,0.3343555025029209,15,Randy Arozarena;Cal Raleigh;Julio Rodríguez;Eugenio Suárez;Jorge Polanco;J.P. Crawford;Josh Naylor;Dominic Canzone;Victor Robles
2020,114,0.3264138243083622,0.31769121800129746,16,Francisco Lindor;José Ramírez;Carlos Santana;Franmil Reyes;César Hernández;Roberto Pérez;Tyler Naquin;Delino DeShields;Josh Naylor
2015,134,0.31744658047250424,0.3157110661207742,16,Andrew McCutchen;Starling Marte;Gregory Polanco;Jordy Mercer;Francisco Cervelli;Aramis Ramirez;Neil Walker;Pedro Álvarez;Josh Harrison
2019,144,0.3357698501132642,0.33145231096170047,14,Ozzie Albies;Dansby Swanson;Nick Markakis;Freddie Freeman;Josh Donaldson;Ronald Acuña;Matt Joyce;Brian McCann;Tyler Flowers
2018,144,0.3186577173731954,0.32747826238490724,15,Ronald Acuña;Nick Markakis;Freddie Freeman;Ozzie Albies;Ender Inciarte;Johan Camargo;Charlie Culberson;Tyler Flowers;Dansby Swanson
2021,138,0.3246506183513588,0.32303957359323965,17,Paul Goldschmidt;Tyler O'Neill;Tommy Edman;Nolan Arenado;Harrison Bader;Dylan Carlson;Yadier Molina;Edmundo Sosa;Paul DeJong
2020,138,0.32452284862647357,0.31644477386060926,21,Paul Goldschmidt;Tommy Edman;Paul DeJong;Kolten Wong;Brad Miller;Yadier Molina;Matt Carpenter;Tyler O'Neill;Harrison Bader
2017,111,0.31386419604656124,0.319672746488397,16,Xander Bogaerts;Andrew Benintendi;Rafael Devers;Jackie Bradley;Mookie Betts;Mitch Moreland;Christian Vázquez;Dustin Pedroia;Hanley Ramirez
2026,144,0.3215998250110003,0.32207751623314446,15,Drake Baldwin;Ronald Acuña Jr.;Matt Olson;Michael Harris II;Mauricio Dubón;Ozzie Albies;Austin Riley;Mike Yastrzemski;Sean Murphy
2016,111,0.32919710892700255,0.34810895649753915,16,Xander Bogaerts;Dustin Pedroia;David Ortiz;Mookie Betts;Hanley Ramirez;Jackie Bradley;Sandy León;Andrew Benintendi;Travis Shaw
2015,118,0.3202311572478629,0.32386900863639534,16,Eric Hosmer;Ben Zobrist;Mike Moustakas;Alex Gordon;Alex Rios;Alcides Escobar;Salvador Perez;Lorenzo Cain;Kendrys Morales
2023,146,0.32495411610029773,0.321419425249735,15,Josh Bell;Jake Burger;Jazz Chisholm;Jorge Soler;Garrett Hampson;Bryan De La Cruz;Jon Berti;Jesús Sánchez;Nick Fortes
2015,138,0.3195254749134765,0.318872222138888,16,Matt Carpenter;Jason Heyward;Jhonny Peralta;Stephen Piscotty;Tony Cruz;Kolten Wong;Tommy Pham;Randal Grichuk;Matt Holliday
2018,133,0.3310930515748987,0.33354766687246146,14,Matt Chapman;Jed Lowrie;Khris Davis;Matt Olson;Marcus Semien;Ramón Laureano;Stephen Piscotty;Nick Martini;Jonathan Lucroy
2019,133,0.3368781874838703,0.3341812836604695,15,Marcus Semien;Matt Olson;Matt Chapman;Mark Canha;Khris Davis;Ramón Laureano;Chad Pinder;Sheldon Neuse;Sean Murphy
2026,109,0.3216068357476257,0.32358841065407756,14,Ketel Marte;Geraldo Perdomo;Gabriel Moreno;Nolan Arenado;Lars Nootbaar;Corbin Carroll;Tim Tawa;Jordan Lawlar;Pavin Smith
2025,116,0.3224398540596544,0.3200084692717606,15,Parker Meadows;Gleyber Torres;Spencer Torkelson;Riley Greene;Wenceel Pérez;Dillon Dingler;Kerry Carpenter;Zach McKinstry;Javier Báez
2024,116,0.3135342915757141,0.31080767991194663,14,Riley Greene;Parker Meadows;Spencer Torkelson;Trey Sweeney;Colt Keith;Matt Vierling;Kerry Carpenter;Wenceel Pérez;Jake Rogers
2025,141,0.33057351426560017,0.3297574996718045,16,George Springer;Vladimir Guerrero;Ernie Clement;Davis Schneider;Addison Barger;Daulton Varsho;Alejandro Kirk;Nathan Lukes;Andrés Giménez
2024,117,0.3273429148979139,0.3256871140554833,14,Yainer Diaz;Jeremy Peña;Alex Bregman;Jose Altuve;Kyle Tucker;Victor Caratini;Mauricio Dubón;Yordan Alvarez;Jake Meyers
2020,135,0.35053370954286656,0.3425420669807475,14,Manny Machado;Fernando Tatis;Trent Grisham;Wil Myers;Jake Cronenworth;Jurickson Profar;Austin Nola;Mitch Moreland;Tommy Pham
2021,158,0.31667432743636204,0.31934466676244205,16,Kolten Wong;Eduardo Escobar;Christian Yelich;Luis Urías;Willy Adames;Omar Narváez;Jace Peterson;Lorenzo Cain;Avisaíl García
2020,158,0.32745006014715605,0.3175270796919519,19,Christian Yelich;Avisaíl García;Jedd Gyorko;Keston Hiura;Ryan Braun;Orlando Arcia;Daniel Vogelbach;Jacob Nottingham;Luis Urías
2022,147,0.3271972234300346,0.32464980500158785,16,Aaron Judge;Oswaldo Cabrera;Josh Donaldson;Anthony Rizzo;Harrison Bader;Giancarlo Stanton;Gleyber Torres;Isiah Kiner-Falefa;Jose Trevino
2021,119,0.3420023950638418,0.3414615949019375,15,Mookie Betts;Corey Seager;Trea Turner;Max Muncy;Justin Turner;Will Smith;Gavin Lux;AJ Pollock;Chris Taylor
2020,119,0.3485939884935826,0.34064664438678754,15,Corey Seager;Mookie Betts;Max Muncy;Cody Bellinger;AJ Pollock;Chris Taylor;Will Smith;Justin Turner;Joc Pederson
2023,110,0.32030507266723623,0.3241103746233089,15,Gunnar Henderson;Adley Rutschman;Anthony Santander;Ryan O'Hearn;Cedric Mullins;Austin Hays;Adam Frazier;Aaron Hicks;Jordan Westburg
2016,110,0.3295651461835183,0.32820557424533703,16,Adam Jones;Manny Machado;Chris Davis;Jonathan Schoop;J.J. Hardy;Mark Trumbo;Matt Wieters;Hyun Soo Kim;Michael Bourn
2026,145,0.31824049271484267,0.32239748642709537,15,Miguel Vargas;Chase Meidroth;Munetaka Murakami;Colson Montgomery;Sam Antonacci;Andrew Benintendi;Braden Montgomery;Tristan Peters;Kyle Teel
2015,119,0.32490659143145073,0.32174656340605096,17,Corey Seager;Adrián González;Howie Kendrick;Chase Utley;Andre Ethier;Carl Crawford;Joc Pederson;A.J. Ellis;Yasmani Grandal
2021,139,0.3202217778579797,0.32813405510511806,15,Randy Arozarena;Brandon Lowe;Ji Man Choi;Joey Wendle;Nelson Cruz;Yandy Díaz;Austin Meadows;Manuel Margot;Kevin Kiermaier
2020,139,0.3225557803903727,0.3245041530063524,16,Nathaniel Lowe;Brandon Lowe;Randy Arozarena;Yoshi Tsutsugo;Joey Wendle;Willy Adames;Manuel Margot;Kevin Kiermaier;Mike Brosseau
2026,112,0.32502783406728275,0.33769559909953567,14,Pete Crow-Armstrong;Alex Bregman;Seiya Suzuki;Nico Hoerner;Michael Busch;Ian Happ;Pedro Ramírez;Michael Conforto;Carson Kelly
